NUM_PIT,CODE_ESP,DATE,SITE_DEPART,DPT_DEPART,DATE_ARRIVEE,SITE_ARRIVEE,DPT_ARRIVEE,DISTANCE
989001005665952.0,RHIFER,2018-07-18,La Marchandière,79,2019-01-27,Carrière des Champs Taunais,17,88.33154408228519
989001005665952.0,RHIFER,2019-01-27,Carrière des Champs Taunais,17,2019-07-15,La Bufferie,79,92.52506389663078
989001005665952.0,RHIFER,2019-07-16,La Bufferie,79,2019-07-16,La Marchandière,79,4.19493548228296
989001005665952.0,RHIFER,2019-07-16,La Marchandière,79,2020-01-19,Carrière des Champs Taunais,17,88.33154408228519
989001005665953.0,RHIFER,2019-09-04,Grottes de Loubeau,79,2020-06-28,Puy-Chenin,79,41.19187143866132
989001005665955.0,RHIFER,2017-06-19,Cézelle,79,2017-07-27,La Marchandière,79,5.186209940258293
989001005665957.0,RHIFER,2022-01-21,Grottes de Loubeau,79,2023-01-20,Musée des Mines d'Argent,79,0.3551125622589658
989001005665961.0,RHIFER,2018-04-22,Carrière de la Roche,17,2020-01-20,Carrière des Fourneaux (W),17,0.9734695651364548
989001005665961.0,RHIFER,2021-01-31,Carrière des Fourneaux (W),17,2022-06-30,Carrière de la Roche,17,0.9734695651364548
989001005665961.0,RHIFER,2022-06-30,Carrière de la Roche,17,2023-01-28,Carrière des Fourneaux (W),17,0.9734695651364548
989001005665964.0,RHIFER,2016-09-11,Brelouze,85,2018-01-23,Saint-Même-les-Carrières-Le bourg,16,105.13679891798054
989001005665964.0,RHIFER,2018-01-23,Saint-Même-les-Carrières-Le bourg,16,2018-07-17,La Marchandière,79,106.93305160675935
989001005665964.0,RHIFER,2018-07-18,La Marchandière,79,2019-01-27,Carrière de Bois Catineau,16,109.57488265878345
989001005665964.0,RHIFER,2019-01-27,Carrière de Bois Catineau,16,2019-07-16,La Marchandière,79,109.57488265878345
989001005665970.0,RHIFER,2017-01-17,Musée des Mines d'Argent,79,2017-02-22,Grottes de Loubeau,79,0.3551125622589658
989001005665975.0,RHIFER,2018-07-18,La Marchandière,79,2019-05-01,Carrière des Chaudrolles (NW),16,93.12722503455811
989001005665975.0,RHIFER,2019-05-06,Carrière des Chaudrolles (NW),16,2019-07-16,La Marchandière,79,93.12722503455811
989001005665979.0,RHIFER,2017-08-09,Goizet (W),17,2018-01-22,Carrière des Chaudrolles (NW),16,48.500498922656895
989001005665979.0,RHIFER,2018-01-22,Carrière des Chaudrolles (NW),16,2018-05-06,Goizet (W),17,48.500498922656895
989001005665979.0,RHIFER,2018-07-10,Goizet (W),17,2019-01-26,Carrière de la Roche,17,41.68892598415906
989001005665979.0,RHIFER,2019-01-26,Carrière de la Roche,17,2019-05-16,Goizet (W),17,41.68892598415906
989001005665979.0,RHIFER,2019-08-05,Goizet (W),17,2020-01-19,Carrière de la Roche,17,41.68892598415906
989001005665979.0,RHIFER,2020-01-19,Carrière de la Roche,17,2020-05-10,Goizet (W),17,41.68892598415906
989001005665979.0,RHIFER,2020-08-26,Goizet (W),17,2021-01-31,Carrière de la Roche,17,41.68892598415906
989001005665979.0,RHIFER,2021-01-31,Carrière de la Roche,17,2021-05-09,Goizet (W),17,41.68892598415906
989001005665981.0,RHIFER,2022-06-30,Carrière de la Roche,17,2023-01-28,La Motte à l'Œuf,17,6.468140312809091
989001005665983.0,RHIFER,2017-01-28,Carrière de la Roche,17,2018-01-23,Carrière de Fief de Foye (principale),17,13.92517819189612
989001005665987.0,RHIFER,2017-02-21,Bois de l'Héraudière,17,2019-06-01,La Brumaudière,79,62.310819757774404
989001005665987.0,RHIFER,2019-06-01,La Brumaudière,79,2020-06-04,Cézelle,79,13.728362013541208
989001005665987.0,RHIFER,2022-05-27,Cézelle,79,2023-08-21,La Brumaudière,79,13.728362013541208
989001005665990.0,RHIFER,2018-06-06,Cézelle,79,2018-07-17,La Marchandière,79,5.186209940258293
989001005665998.0,RHIFER,2017-05-21,Cézelle,79,2018-07-18,La Marchandière,79,5.186209940258293
989001005665998.0,RHIFER,2018-07-18,La Marchandière,79,2019-05-04,La Brumaudière,79,15.98280369527903
989001005665998.0,RHIFER,2019-05-06,La Brumaudière,79,2019-05-14,Cézelle,79,13.728362013541208
989001005665998.0,RHIFER,2019-05-14,Cézelle,79,2019-07-15,La Bufferie,79,8.767888816989588
989001005665998.0,RHIFER,2019-07-16,La Bufferie,79,2021-05-11,La Brumaudière,79,20.084362684355927
989001005665998.0,RHIFER,2021-09-03,La Brumaudière,79,2022-07-15,La Marchandière,79,15.98280369527903
989001005666000.0,RHIFER,2017-02-22,Musée des Mines d'Argent,79,2018-02-22,Grottes de Loubeau,79,0.3551125622589658
989001005666001.0,RHIFER,2017-02-03,Tunnel ferroviaire,85,2018-07-17,La Bufferie,79,34.178366334931056
989001005666001.0,RHIFER,2019-07-16,La Bufferie,79,2022-06-18,Cézelle,79,8.767888816989588
989001005666001.0,RHIFER,2022-06-18,Cézelle,79,2022-07-16,La Marchandière,79,5.186209940258293
989001005666003.0,RHIFER,2018-04-24,Carrière de la Roche,17,2020-01-18,Les Mauds (Est),17,9.090394937383577
989001005666003.0,RHIFER,2020-01-18,Les Mauds (Est),17,2021-01-31,Carrière de la Roche,17,9.090394937383577
989001005666003.0,RHIFER,2021-01-31,Carrière de la Roche,17,2023-01-28,Carrière du Clône,17,11.86888293672474
989001005666004.0,RHIFER,2018-04-25,Carrière de la Roche,17,2019-01-24,La Roche,17,18.38891053587368
989001005666017.0,RHIFER,2016-10-02,Grottes de Loubeau,79,2017-01-17,Musée des Mines d'Argent,79,0.3551125622589658
989001005666017.0,RHIFER,2017-02-22,Musée des Mines d'Argent,79,2018-01-26,Grottes de Loubeau,79,0.3551125622589658
989001005666023.0,RHIFER,2017-02-22,Musée des Mines d'Argent,79,2018-02-22,Grottes de Loubeau,79,0.3551125622589658
989001005666023.0,RHIFER,2018-02-22,Grottes de Loubeau,79,2018-08-31,Château de Gagemont,79,1.2639506287276987
989001005666023.0,RHIFER,2018-10-18,Château de Gagemont,79,2019-01-24,Musée des Mines d'Argent,79,1.537716958729847
