DATE,ANNEE,DEPARTEMENT,COMMUNE,LIEU_DIT,CODE_ESP,SEXE,AGE,NUM_PIT,ETUDE,AGE_CLASS
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,F,+2A,989001005665949.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,M,+2A,989001005665951.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,F,+2A,989001005665961.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,F,+2A,989001005665963.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,M,+2A,989001005665965.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,M,+2A,989001005665968.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,F,+2A,989001005665972.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,F,+2A,989001005665974.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,F,+2A,989001005665977.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,F,+2A,989001005665979.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,F,+2A,989001005665981.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,M,+2A,989001005665983.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,F,+2A,989001005665986.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,M,+2A,989001005665988.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,F,+2A,989001005665991.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,M,+2A,989001005665992.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,F,+2A,989001005665994.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,M,+2A,989001005666003.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,F,+2A,989001005666004.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,M,+2A,989001005666005.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,M,+2A,989001005666006.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,M,+2A,989001005666007.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,F,+2A,989001005666009.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,F,+2A,989001005666011.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,F,+2A,989001005666012.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,M,+2A,989001005666022.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,M,+2A,989001005666024.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,M,+2A,989001005666025.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,M,+2A,989001005666027.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,M,+2A,989001005666032.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,M,+2A,989001005666033.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,M,+2A,989001005666039.0,ECOFECT (GR/CCPNA),2
2016-04-18,2016,17,LA CLISSE,Carrière de la Roche,RHIFER,F,+2A,989001005666045.0,ECOFECT (GR/CCPNA),2
2016-04-19,2016,16,RANCOGNE,Grotte de Rancogne,RHIFER,M,+2A,989001005665962.0,ECOFECT (GR/CCPNA),2
2016-04-19,2016,16,RANCOGNE,Grotte de Rancogne,RHIFER,M,+2A,989001005665976.0,ECOFECT (GR/CCPNA),2
2016-04-19,2016,16,RANCOGNE,Grotte de Rancogne,RHIFER,M,+2A,989001005665978.0,ECOFECT (GR/CCPNA),2
2016-04-19,2016,16,RANCOGNE,Grotte de Rancogne,RHIFER,M,+2A,989001005665980.0,ECOFECT (GR/CCPNA),2
2016-04-19,2016,16,RANCOGNE,Grotte de Rancogne,RHIFER,M,+2A,989001005665982.0,ECOFECT (GR/CCPNA),2
2016-04-19,2016,16,RANCOGNE,Grotte de Rancogne,RHIFER,M,+2A,989001005665984.0,ECOFECT (GR/CCPNA),2
2016-04-19,2016,16,RANCOGNE,Grotte de Rancogne,RHIFER,F,+2A,989001005665985.0,ECOFECT (GR/CCPNA),2
2016-04-19,2016,16,RANCOGNE,Grotte de Rancogne,RHIFER,M,+2A,989001005665989.0,ECOFECT (GR/CCPNA),2
2016-04-19,2016,16,RANCOGNE,Grotte de Rancogne,RHIFER,F,+2A,989001005666008.0,ECOFECT (GR/CCPNA),2
2016-04-19,2016,16,RANCOGNE,Grotte de Rancogne,RHIFER,M,+2A,989001005666030.0,ECOFECT (GR/CCPNA),2
2016-04-19,2016,16,RANCOGNE,Grotte de Rancogne,RHIFER,F,+2A,989001005666031.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,F,+2A,989001005665953.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,M,+2A,989001005665956.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,M,+2A,989001005665957.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,M,+2A,989001005665958.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,M,+2A,989001005665966.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,F,+2A,989001005665969.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,F,+2A,989001005665970.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,M,+2A,989001005665999.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,M,+2A,989001005666000.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,F,+2A,989001005666010.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,F,+2A,989001005666014.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,M,+2A,989001005666017.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,F,+2A,989001005666018.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,F,+2A,989001005666019.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,M,+2A,989001005666021.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,M,+2A,989001005666023.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,F,+2A,989001005666026.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,F,+2A,989001005666036.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,F,+2A,989001005666042.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,M,+2A,989001005666043.0,ECOFECT (GR/CCPNA),2
2016-04-20,2016,79,MELLE,Grottes de Loubeau,RHIFER,F,+2A,989001005666044.0,ECOFECT (GR/CCPNA),2
2016-08-07,2016,17,ANNEPONT,Mairie d'Annepont,RHIFER,F,+2A,989001025038916.0,ECOFECT (GR/CCPNA),2
