Département,Ancienne Région,Nouvelle Région,Departement_str
17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
79,Poitou-Charentes,Nouvelle-Aquitaine,Deux-Sèvres
85,Pays de la Loire,Pays de la Loire,Vendée
16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
19,Limousin,Nouvelle-Aquitaine,Corrèze
86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
63,Auvergne,Auvergne-Rhône-Alpes,Puy-de-Dôme
47,Aquitaine,Nouvelle-Aquitaine,Lot-et-Garonne
33,Aquitaine,Nouvelle-Aquitaine,Gironde
46,Midi-Pyrénées,Occitanie,Lot
24,Aquitaine,Nouvelle-Aquitaine,Dordogne
64,Aquitaine,Nouvelle-Aquitaine,Pyrénées-Atlantiques
40,Aquitaine,Nouvelle-Aquitaine,Landes
43,Auvergne,Auvergne-Rhône-Alpes,Haute-Loire
Aragon,Espagne,Espagne,Aragon
Araba,Espagne,Espagne,Araba
Gipuzkoa,Espagne,Espagne,Gipuzkoa
65,Midi-Pyrénées,Occitanie,Hautes-Pyrénées
37,Centre,Centre-Val de Loire,Indre-et-Loire
62,Nord-Pas-de-Calais,Hauts-de-France,Pas-de-Calais
72,Pays de la Loire,Pays de la Loire,Sarthe
23,Limousin,Nouvelle-Aquitaine,Creuse
15,Auvergne,Auvergne-Rhône-Alpes,Cantal
32,Midi-Pyrénées,Occitanie,Gers
87,Limousin,Nouvelle-Aquitaine,Haute-Vienne
Navarra,Espagne,Espagne,Navarra
9,Midi-Pyrénées,Occitanie,Ariège
Bizkaia,Espagne,Espagne,Bizkaia
11,Languedoc-Roussillon,Occitanie,Aude
