COMMUNE,LIEU_DIT,DEPARTEMENT,LONG_L93,LAT_L93,LAT_WGS,LONG_WGS,Département,Ancienne Région,Nouvelle Région,DPT_str
VERTEUIL-SUR-CHARENTE,Bois de La Tremblaye,16,484010.0,6546840.0,45.98693313532546,0.20925884537820227,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
CHAMPAGNE-MOUTON,Grotte de Grosbot,16,499279.0,6548629.0,46.00772118436309,0.4056384677291189,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
ANNEPONT,Mairie d'Annepont,17,419441.0,6533475.0,45.843097576527214,-0.6160807684101542,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
SAINT-LOUP-LAMAIRÉ,Desmoulines,79,460088.0,6637956.0,46.79871974014693,-0.14641049028980965,79,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
FENIOUX,Cézelle,79,434029.0,6613188.0,46.56606718956285,-0.4734699588826316,79,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
SAINT-MICHEL-LE-CLOUCQ,Brelouze,85,411374.0,6605240.0,46.48522924882638,-0.7639597410140808,85,Pays de la Loire,Pays de la Loire,Vendée
RANCOGNE,Grotte de Rancogne,16,498180.0,6514240.0,45.69789346262592,0.40604020194317025,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
SAINT-BONNET-SUR-GIRONDE,Goizet (W),17,414271.0,6479520.0,45.3556193233304,-0.6504946308304114,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
MELLE,Grottes de Loubeau,79,457196.0,6573023.0,46.21346044795033,-0.15034094434111642,79,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
SAINT-SAVINIEN,Bois de l'Héraudière,17,413612.0,6541466.0,45.912549374705044,-0.6959186647118211,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
SAINT-GENEST-D'AMBIÈRE,La Poulasserie - cave,86,501795.13,6640103.49,46.83170600066438,0.3992081542546175,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
MELLE,Musée des Mines d'Argent,79,457425.98,6573293.55,46.2159773301218,-0.1475000043176272,79,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
SAINT-SULPICE-DE-COGNAC,Carrière des Chaudrolles (NW),16,437041.31,6522306.29,45.74964526440778,-0.3833562697529652,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
GARAT,Carrière de Bellevue (Garat),16,486251.0,6506073.0,45.62076324859372,0.25648441449301146,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
AIRVAULT,Pont de Vernay (Four à chaux),79,460281.0,6640539.0,46.82202755267544,-0.1452306213848066,79,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
