DATE,ANNEE,COMMUNE,LIEU_DIT,DEPARTEMENT,CODE_ESP,SEXE,ACTION,NUM_PIT,LONG_L93,LAT_L93,LAT_WGS,LONG_WGS
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,F,T,989001005665949.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,M,T,989001005665951.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,F,T,989001005665961.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,F,T,989001005665963.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,M,T,989001005665965.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,M,T,989001005665968.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,F,T,989001005665972.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,F,T,989001005665974.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,F,T,989001005665977.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,F,T,989001005665979.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,F,T,989001005665981.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,M,T,989001005665983.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,F,T,989001005665986.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,M,T,989001005665988.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,F,T,989001005665991.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,M,T,989001005665992.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,F,T,989001005665994.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,M,T,989001005666003.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,F,T,989001005666004.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,M,T,989001005666005.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,M,T,989001005666006.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,M,T,989001005666007.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,F,T,989001005666009.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,F,T,989001005666011.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,F,T,989001005666012.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,M,T,989001005666022.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,M,T,989001005666024.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
2016-04-18,2016,LA CLISSE,Carrière de la Roche,17,RHIFER,M,T,989001005666025.0,408177.549,6520712.591,45.72356732162967,-0.7532260890904864
